output_dir=/data/uav_project/ParallelCBF/runs/v25_ppo_20260502T090342Z
tb_logdir=/data/uav_project/ParallelCBF/runs/v25_ppo_20260502T090342Z/tb
pre_registration_manifest_sha256=28b31405161bd333c9d7e7524717935bf819b97700cb1e8965214a0255a7678e
bc_checkpoint_sha256=40c70226bbae24e2bce4c00878fd31173337fb4e411b7f45107a71198f5719e0
bc_dataset_sha256=50e59d2f7886dcc00f3c2405ae449cdbaa879b1b5be79b7dcd2993ce65bb5145
============================================================
WATCHDOG REGISTRY (V25 PPO training):
  - Train Loss Explosion: metric=train_loss, threshold=1000000.0, when=>
  - Grad Norm Blowup: metric=grad_norm, threshold=10000.0, when=>
  - Val Overfit: metric=val_overfit_ratio, threshold=5.0, when=>
============================================================
[INFO][V25] phase=0 (CRITIC_WARMUP) entered cleanly
loaded_actor_parameters=3167235
[INFO][V25] algo.learn entry reached
wandb: WARNING The anonymous setting has no effect and will be removed in a future version.
wandb: Tracking run with wandb version 0.26.1
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /data/uav_project/ParallelCBF/runs/v25_ppo_20260502T090342Z/wandb/wandb/offline-run-20260502_170345-ko56w3hs
wandb: WARNING URL not available in offline run
wandb_status=initialized mode=offline url=unavailable
[V25 PPO] phase=0 rollout/transitions=327680 safety/h_hard_min=4.47187 train/value_loss=1042.34 train/grad_norm=336.401
[V25 PPO] phase=0 rollout/transitions=331776 safety/h_hard_min=4.47189 train/value_loss=1090.1 train/grad_norm=350.615
[V25 PPO] phase=0 rollout/transitions=335872 safety/h_hard_min=4.47103 train/value_loss=1042.11 train/grad_norm=340.141
[V25 PPO] phase=0 rollout/transitions=339968 safety/h_hard_min=4.46796 train/value_loss=1014.29 train/grad_norm=319.142
[V25 PPO] phase=0 rollout/transitions=344064 safety/h_hard_min=4.4728 train/value_loss=1030.85 train/grad_norm=333.226
[V25 PPO] phase=0 rollout/transitions=348160 safety/h_hard_min=4.4738 train/value_loss=1044.44 train/grad_norm=334.137
[V25 PPO] phase=0 rollout/transitions=352256 safety/h_hard_min=4.47424 train/value_loss=1071.38 train/grad_norm=344.739
[V25 PPO] phase=0 rollout/transitions=356352 safety/h_hard_min=4.47207 train/value_loss=994.504 train/grad_norm=331.869
[V25 PPO] phase=0 rollout/transitions=360448 safety/h_hard_min=4.47154 train/value_loss=1009.23 train/grad_norm=324.989
[V25 PPO] phase=0 rollout/transitions=364544 safety/h_hard_min=4.47238 train/value_loss=1088.48 train/grad_norm=343.29
[V25 PPO] phase=0 rollout/transitions=368640 safety/h_hard_min=4.46998 train/value_loss=1028.68 train/grad_norm=332.044
[V25 PPO] phase=0 rollout/transitions=372736 safety/h_hard_min=4.4721 train/value_loss=1028.15 train/grad_norm=323.491
[V25 PPO] phase=0 rollout/transitions=376832 safety/h_hard_min=4.47306 train/value_loss=1061.23 train/grad_norm=349.793
[V25 PPO] phase=0 rollout/transitions=380928 safety/h_hard_min=4.47265 train/value_loss=889.273 train/grad_norm=300.982
[V25 PPO] phase=0 rollout/transitions=385024 safety/h_hard_min=4.47434 train/value_loss=1015.21 train/grad_norm=337.577
[V25 PPO] phase=0 rollout/transitions=389120 safety/h_hard_min=4.47393 train/value_loss=1033.17 train/grad_norm=320.018
[V25 PPO] phase=0 rollout/transitions=393216 safety/h_hard_min=4.47348 train/value_loss=1068.59 train/grad_norm=339.567
[V25 PPO] phase=0 rollout/transitions=397312 safety/h_hard_min=4.47289 train/value_loss=1003.19 train/grad_norm=328.693
[V25 PPO] phase=0 rollout/transitions=401408 safety/h_hard_min=4.47188 train/value_loss=1078.11 train/grad_norm=336.25
[V25 PPO] phase=0 rollout/transitions=405504 safety/h_hard_min=4.46783 train/value_loss=1026.81 train/grad_norm=329.258
[V25 PPO] phase=0 rollout/transitions=409600 safety/h_hard_min=4.47004 train/value_loss=1027.54 train/grad_norm=332.734
[V25 PPO] phase=0 rollout/transitions=413696 safety/h_hard_min=4.47238 train/value_loss=947.142 train/grad_norm=304.419
[V25 PPO] phase=0 rollout/transitions=417792 safety/h_hard_min=4.47431 train/value_loss=963.495 train/grad_norm=311.843
[V25 PPO] phase=0 rollout/transitions=421888 safety/h_hard_min=4.47032 train/value_loss=939.593 train/grad_norm=306.002
[V25 PPO] phase=0 rollout/transitions=425984 safety/h_hard_min=4.47427 train/value_loss=954.15 train/grad_norm=315.913
[V25 PPO] phase=0 rollout/transitions=430080 safety/h_hard_min=4.47123 train/value_loss=1035.59 train/grad_norm=325.911
[V25 PPO] phase=0 rollout/transitions=434176 safety/h_hard_min=4.47336 train/value_loss=941.923 train/grad_norm=313.419
[V25 PPO] phase=0 rollout/transitions=438272 safety/h_hard_min=4.47483 train/value_loss=1017.32 train/grad_norm=320.783
[V25 PPO] phase=0 rollout/transitions=442368 safety/h_hard_min=4.47118 train/value_loss=891.549 train/grad_norm=302.124
[V25 PPO] phase=0 rollout/transitions=446464 safety/h_hard_min=4.47131 train/value_loss=879.999 train/grad_norm=297.131
[V25 PPO] phase=0 rollout/transitions=450560 safety/h_hard_min=4.47299 train/value_loss=919.363 train/grad_norm=302.06
[V25 PPO] phase=0 rollout/transitions=454656 safety/h_hard_min=4.47403 train/value_loss=1001.64 train/grad_norm=331.619
[V25 PPO] phase=0 rollout/transitions=458752 safety/h_hard_min=4.47206 train/value_loss=939.458 train/grad_norm=313.725
[V25 PPO] phase=0 rollout/transitions=462848 safety/h_hard_min=4.47119 train/value_loss=853.473 train/grad_norm=298.085
[V25 PPO] phase=0 rollout/transitions=466944 safety/h_hard_min=4.47042 train/value_loss=1005.7 train/grad_norm=314.812
[V25 PPO] phase=0 rollout/transitions=471040 safety/h_hard_min=4.47443 train/value_loss=874.348 train/grad_norm=295.865
[V25 PPO] phase=0 rollout/transitions=475136 safety/h_hard_min=4.47279 train/value_loss=892.759 train/grad_norm=303.05
[V25 PPO] phase=0 rollout/transitions=479232 safety/h_hard_min=4.47253 train/value_loss=945.971 train/grad_norm=310.418
[V25 PPO] phase=0 rollout/transitions=483328 safety/h_hard_min=4.47213 train/value_loss=924.773 train/grad_norm=303.138
[V25 PPO] phase=0 rollout/transitions=487424 safety/h_hard_min=4.47026 train/value_loss=927.056 train/grad_norm=310.458
[V25 PPO] phase=0 rollout/transitions=491520 safety/h_hard_min=4.4711 train/value_loss=929.333 train/grad_norm=307.819
